Nº PARTIDO,EQUIPO 1,EMPATE,EQUIPO 2
EC001,0,0,0
EC002,0,0,0
EC003,0,0,0
EC004,0,0,0
EC005,0,0,0
EC006,0,0,0
EC007,0,0,0
EC008,0,0,0
EC009,0,0,0
EC010,0,0,0
EC011,0,0,0
EC012,0,0,0
EC013,0,0,0
EC014,0,0,0
EC015,0,0,0
EC016,0,0,0
EC017,0,0,0
EC018,0,0,0
EC019,0,0,0
EC020,0,0,0
EC021,0,0,0
EC022,0,0,0
EC023,0,0,0
EC024,0,0,0
EC025,0,0,0
EC026,0,0,0
EC027,0,0,0
EC028,0,0,0
EC029,0,0,0
EC030,0,0,0
EC031,0,0,0
EC032,0,0,0
EC033,0,0,0
EC034,0,0,0
EC035,0,0,0
EC036,0,0,0
EC037,0,0,0
EC038,0,0,0
EC039,0,0,0
EC040,0,0,0
EC041,0,0,0
EC042,0,0,0
EC043,0,0,0
EC044,0,0,0
EC045,0,0,0
EC046,0,0,0
EC047,0,0,0
EC048,0,0,0
EC049,0,0,0
EC050,0,0,0
EC051,0,0,0
EC052,0,0,0
EC053,0,0,0
EC054,0,0,0
EC055,0,0,0
EC056,0,0,0
EC057,0,0,0
EC058,0,0,0
EC059,0,0,0
EC060,0,0,0
EC061,0,0,0
EC062,0,0,0
EC063,0,0,0
EC064,0,0,0
EC065,0,0,0
EC066,0,0,0
EC067,0,0,0
EC068,0,0,0
EC069,0,0,0
EC070,0,0,0
EC071,0,0,0
EC072,0,0,0
EC073,0,0,0
EC074,0,0,0
EC075,0,0,0
EC076,0,0,0
EC077,0,0,0
EC078,0,0,0
EC079,0,0,0
EC080,0,0,0
EC081,0,0,0
EC082,0,0,0
EC083,0,0,0
EC084,0,0,0
EC085,0,0,0
EC086,0,0,0
EC087,0,0,0
EC088,0,0,0
EC089,0,0,0
EC090,0,0,0
EC091,0,0,0
EC092,0,0,0
EC093,0,0,0
EC094,0,0,0
EC095,0,0,0
EC096,0,0,0
EC097,0,0,0
EC098,0,0,0
EC099,0,0,0
EC100,0,0,0
EC101,0,0,0
EC102,0,0,0
EC103,0,0,0
EC104,0,0,0
EC105,0,0,0
EC106,0,0,0
EC107,0,0,0
EC108,0,0,0
EC109,0,0,0
EC110,0,0,0
EC111,0,0,0
EC112,0,0,0
EC113,0,0,0
EC114,0,0,0
EC115,0,0,0
EC116,0,0,0
EC117,0,0,0
EC118,0,0,0
EC119,0,0,0
EC120,0,0,0
EC121,0,0,0
EC122,0,0,0
EC123,0,0,0
EC124,0,0,0
EC125,0,0,0
EC126,0,0,0
EC127,0,0,0
EC128,0,0,0
EC129,0,0,0
EC130,0,0,0
EC131,0,0,0
EC132,0,0,0
EC133,0,0,0
EC134,0,0,0
EC135,0,0,0
EC136,0,0,0
EC137,0,0,0
EC138,0,0,0
EC139,0,0,0
EC140,0,0,0
EC141,0,0,0
EC142,0,0,0
EC143,0,0,0
EC144,0,0,0
EC145,0,0,0
EC146,0,0,0
EC147,0,0,0
EC148,0,0,0
EC149,0,0,0
EC150,0,0,0
EC151,0,0,0
EC152,0,0,0
EC153,0,0,0
EC154,0,0,0
EC155,0,0,0
EC156,0,0,0
EC157,0,0,0
EC158,0,0,0
EC159,0,0,0
EC160,0,0,0
EC161,0,0,0
EC162,0,0,0
EC163,0,0,0
EC164,0,0,0
EC165,0,0,0
EC166,0,0,0
EC167,0,0,0
EC168,0,0,0
EC169,0,0,0
EC170,0,0,0
EC171,0,0,0
EC172,0,0,0
EC173,0,0,0
EC174,0,0,0
EC175,0,0,0
EC176,0,0,0
EC177,0,0,0
EC178,0,0,0
EC179,0,0,0
EC180,0,0,0
EC181,0,0,0
EC182,0,0,0
EC183,0,0,0
EC184,0,0,0
EC185,0,0,0
EC186,0,0,0
EC187,0,0,0
EC188,0,0,0
EC189,0,0,0
EC190,0,0,0
EC191,0,0,0
EC192,0,0,0
EC193,0,0,0
EC194,0,0,0
EC195,0,0,0
EC196,0,0,0
EC197,0,0,0
EC198,0,0,0
EC199,0,0,0
EC200,0,0,0
EC201,0,0,0
EC202,0,0,0
EC203,0,0,0
EC204,0,0,0
EC205,0,0,0
EC206,0,0,0
EC207,0,0,0
EC208,0,0,0
EC209,0,0,0
EC210,0,0,0
EC211,0,0,0
EC212,0,0,0
EC213,0,0,0
EC214,0,0,0
EC215,0,0,0
EC216,0,0,0
EC217,0,0,0
EC218,0,0,0
EC219,0,0,0
EC220,0,0,0
EC221,0,0,0
EC222,0,0,0
EC223,0,0,0
EC224,0,0,0
EC225,0,0,0
EC226,0,0,0
EC227,0,0,0
EC228,0,0,0
EC229,0,0,0
EC230,0,0,0
EC231,0,0,0
EC232,0,0,0
EC233,0,0,0
EC234,0,0,0
EC235,0,0,0
EC236,0,0,0
EC237,0,0,0
EC238,0,0,0
EC239,0,0,0
EC240,0,0,0
EC241,0,0,0
EC242,0,0,0
EC243,0,0,0
EC244,0,0,0
EC245,0,0,0
EC246,0,0,0
EC247,0,0,0
EC248,0,0,0
EC249,0,0,0
EC250,0,0,0
EC251,0,0,0
EC252,0,0,0
EC253,0,0,0
EC254,0,0,0
EC255,0,0,0
EC256,0,0,0
EC257,0,0,0
EC258,0,0,0
EC259,0,0,0
EC260,0,0,0
EC261,0,0,0
EC262,0,0,0
EC263,0,0,0
EC264,0,0,0
EC265,0,0,0
EC266,0,0,0
EC267,0,0,0
EC268,0,0,0
EC269,0,0,0
EC270,0,0,0
EC271,0,0,0
EC272,0,0,0
EC273,0,0,0
EC274,0,0,0
EC275,0,0,0
EC276,0,0,0
